Fecha,Hora,Ciudad,Apiario,Colmena,Tempertura
2020-10-05,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.49
2020-10-05,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.59
2020-10-05,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.38
2020-10-05,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.36
2020-10-05,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.73
2020-10-06,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.29
2020-10-06,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.55
2020-10-06,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.80
2020-10-06,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.89
2020-10-06,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.81
2020-10-07,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.39
2020-10-07,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.68
2020-10-07,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.81
2020-10-07,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.00
2020-10-07,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.07
2020-10-08,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.87
2020-10-08,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.61
2020-10-08,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.23
2020-10-08,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.58
2020-10-08,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.95
2020-10-09,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.21
2020-10-09,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,33.15
2020-10-09,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.89
2020-10-09,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.76
2020-10-09,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.41
2020-10-09,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.52
2020-10-10,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.51
2020-10-10,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.30
2020-10-10,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.04
2020-10-10,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.62
2020-10-10,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.30
